title,link,company,salary,location,exp
PHP Web Developer,https://www.topcv.vn/viec-lam/php-web-developer/1890951.html?ta_source=JobSearchList_LinkDetail&u_sr_id=9BWmfM365cZpxy9DjLduxSEeaZN3uyGpomV1wUac_1759549989,CÔNG TY TRÁCH NHIỆM HỮU HẠN THK HOLDINGS VIỆT NAM,Thoả thuận,Hồ Chí Minh,3 năm
"Nhân Viên Kinh Doanh Phần Mềm, Lương Cứng 7 - 15 Triệu, Nghỉ T7, CN (Hồ Chí Minh, Hà Nội)",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-phan-mem-luong-cung-7-15-trieu-nghi-t7-cn-ho-chi-minh-ha-noi/1793951.html?ta_source=JobSearchList_LinkDetail&u_sr_id=9BWmfM365cZpxy9DjLduxSEeaZN3uyGpomV1wUac_1759549989,Công ty TNHH MTV công nghệ AN VUI,Từ 30 triệu,"Hà Nội, Hồ Chí Minh",Không yêu cầu
Nhân Viên Thiết Kế Designer _ Hà Nội _  Đà Nẵng _ Lương Upto 10 Triệu _ Không Yêu Cầu Kinh Nghiệm,https://www.topcv.vn/viec-lam/nhan-vien-thiet-ke-designer-ha-noi-da-nang-luong-upto-10-trieu-khong-yeu-cau-kinh-nghiem/1886959.html?ta_source=JobSearchList_LinkDetail&u_sr_id=9BWmfM365cZpxy9DjLduxSEeaZN3uyGpomV1wUac_1759549989,CÔNG TY TNHH MODOBOM QUỐC TẾ,7 - 10 triệu,"Đà Nẵng, Hà Nội",Không yêu cầu
Kỹ Thuật Quản Trị Cơ Sở Dữ Liệu - DBA - Thu Nhập Upto 35 Triệu Đồng - 1 Năm Kinh Nghiệm,https://www.topcv.vn/viec-lam/ky-thuat-quan-tri-co-so-du-lieu-dba-thu-nhap-upto-35-trieu-dong-1-nam-kinh-nghiem/1897732.html?ta_source=JobSearchList_LinkDetail&u_sr_id=9BWmfM365cZpxy9DjLduxSEeaZN3uyGpomV1wUac_1759549989,Công ty cổ phần Onenet,15 - 35 triệu,Hà Nội,1 năm
Data Analyst/ Reporting Associate,https://www.topcv.vn/brand/shinhanfinance1/tuyen-dung/data-analyst-reporting-associate-j1884425.html?ta_source=JobSearchList_LinkDetail&u_sr_id=9BWmfM365cZpxy9DjLduxSEeaZN3uyGpomV1wUac_1759549989,ProSHINHAN FINANCE,Thoả thuận,Hồ Chí Minh,1 năm
Quản Lý Dự Án Triển Khai (IT Project Manager),https://www.topcv.vn/viec-lam/quan-ly-du-an-trien-khai-it-project-manager/1684269.html?ta_source=JobSearchList_LinkDetail&u_sr_id=9BWmfM365cZpxy9DjLduxSEeaZN3uyGpomV1wUac_1759549989,Công ty cổ phần công nghệ Isofh,Thoả thuận,"Hà Nội, Hồ Chí Minh",1 năm
Chương Trình Đào Tạo IT Fresher - Testing Engineer - The Rookie2Engineer - Offer Up To 17M,https://www.topcv.vn/viec-lam/chuong-trinh-dao-tao-it-fresher-testing-engineer-the-rookie2engineer-offer-up-to-17m/1895731.html?ta_source=JobSearchList_LinkDetail&u_sr_id=9BWmfM365cZpxy9DjLduxSEeaZN3uyGpomV1wUac_1759549989,NashTech,Thoả thuận,"Hồ Chí Minh, Hà Nội",Không yêu cầu
Designer / Retoucher Thẩm Mỹ Quận 10 Thu Nhập Hấp Dẫn,https://www.topcv.vn/viec-lam/designer-retoucher-tham-my-quan-10-thu-nhap-hap-dan/1184953.html?ta_source=JobSearchList_LinkDetail&u_sr_id=9BWmfM365cZpxy9DjLduxSEeaZN3uyGpomV1wUac_1759549989,Măng Beauty Studio,12 - 16 triệu,Hồ Chí Minh,1 năm
Frontend Developer - Từ 03 Năm Kinh Nghiệm - Thu Nhập Hấp Dẫn,https://www.topcv.vn/viec-lam/frontend-developer-tu-03-nam-kinh-nghiem-thu-nhap-hap-dan/1891528.html?ta_source=JobSearchList_LinkDetail&u_sr_id=9BWmfM365cZpxy9DjLduxSEeaZN3uyGpomV1wUac_1759549989,Công ty Cổ phần Tập đoàn TDI,Thoả thuận,Hà Nội,3 năm
Nhân Viên Hỗ Trợ Dự Án,https://www.topcv.vn/viec-lam/nhan-vien-ho-tro-du-an/1898193.html?ta_source=JobSearchList_LinkDetail&u_sr_id=9BWmfM365cZpxy9DjLduxSEeaZN3uyGpomV1wUac_1759549989,Khối Công nghệ thông tin - Viettel Telecom,Thoả thuận,Hà Nội,1 năm
Senior Designer 2D (Mức Lương Từ 15 Triệu),https://www.topcv.vn/viec-lam/senior-designer-2d-muc-luong-tu-15-trieu/1887015.html?ta_source=JobSearchList_LinkDetail&u_sr_id=9BWmfM365cZpxy9DjLduxSEeaZN3uyGpomV1wUac_1759549989,CÔNG TY CỔ PHẦN HỢP TÁC VÀ PHÁT TRIỂN TRUYỀN THÔNG NBN,Từ 15 triệu,Hồ Chí Minh,3 năm
"Nhân Viên Kinh Doanh Phần Mềm/ Sales B2B/ Nhân Viên Tư Vấn, Thu Nhập 15 - 40 Triệu, Nghỉ Thứ 7 Và Chủ Nhật, Đi Làm Ngay - Hồ Chí Minh",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-phan-mem-sales-b2b-nhan-vien-tu-van-thu-nhap-15-40-trieu-nghi-thu-7-va-chu-nhat-di-lam-ngay-ho-chi-minh/1883960.html?ta_source=JobSearchList_LinkDetail&u_sr_id=9BWmfM365cZpxy9DjLduxSEeaZN3uyGpomV1wUac_1759549989,CÔNG TY TNHH CNV HOLDINGS,15 - 40 triệu,Hồ Chí Minh,Dưới 1 năm
Thiết Kế Đồ Họa/ Graphic Designer - Ưu Tiên NỮ - 1 Năm Kinh Nghiệm - Nghỉ Thứ 7 - CN - Thu Nhập Upto 20M - Tại Hà Nội,https://www.topcv.vn/viec-lam/thiet-ke-do-hoa-graphic-designer-uu-tien-nu-1-nam-kinh-nghiem-nghi-thu-7-cn-thu-nhap-upto-20m-tai-ha-noi/1899574.html?ta_source=JobSearchList_LinkDetail&u_sr_id=9BWmfM365cZpxy9DjLduxSEeaZN3uyGpomV1wUac_1759549989,CÔNG TY CỔ PHẦN SMARTMOVE VIỆT NAM,Tới 20 triệu,Hà Nội,1 năm
Nhân Viên Kinh Doanh Ngành Game,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-nganh-game/1797374.html?ta_source=JobSearchList_LinkDetail&u_sr_id=9BWmfM365cZpxy9DjLduxSEeaZN3uyGpomV1wUac_1759549989,CÔNG TY CỔ PHẦN SMARTSCALE,Thoả thuận,Hồ Chí Minh,Dưới 1 năm
Software Tester,https://www.topcv.vn/viec-lam/software-tester/1665902.html?ta_source=JobSearchList_LinkDetail&u_sr_id=9BWmfM365cZpxy9DjLduxSEeaZN3uyGpomV1wUac_1759549989,"INFINIQ Vietnam Co.,ltd",Thoả thuận,Hà Nội,Dưới 1 năm
Lập Trình Viên VueJS,https://www.topcv.vn/viec-lam/lap-trinh-vien-vuejs/1893753.html?ta_source=JobSearchList_LinkDetail&u_sr_id=9BWmfM365cZpxy9DjLduxSEeaZN3uyGpomV1wUac_1759549989,Công ty cổ phần FDS,Thoả thuận,Hà Nội,2 năm
Nhân Viên IT Helpdesk,https://www.topcv.vn/viec-lam/nhan-vien-it-helpdesk/1891300.html?ta_source=JobSearchList_LinkDetail&u_sr_id=9BWmfM365cZpxy9DjLduxSEeaZN3uyGpomV1wUac_1759549989,Công Ty TNHH Bảo Hiểm Tasco,Thoả thuận,Hà Nội,3 năm
Graphic Designer,https://www.topcv.vn/viec-lam/graphic-designer/1556162.html?ta_source=JobSearchList_LinkDetail&u_sr_id=9BWmfM365cZpxy9DjLduxSEeaZN3uyGpomV1wUac_1759549989,CÔNG TY TNHH DH VENTURES VIETNAM,12 - 18 triệu,Hồ Chí Minh,1 năm
Nhân Viên Kinh Doanh - Quản Lý Khách Hàng (AM),https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-quan-ly-khach-hang-am/1897428.html?ta_source=JobSearchList_LinkDetail&u_sr_id=9BWmfM365cZpxy9DjLduxSEeaZN3uyGpomV1wUac_1759549989,CÔNG TY TNHH GIẢI PHÁP BẢO MẬT SỐ,Thoả thuận,Hà Nội,2 năm
Mobile Developer (IOS/Android) - Fresher - Khu Vực Quận 7 (TP.HCM),https://www.topcv.vn/viec-lam/mobile-developer-ios-android-fresher-khu-vuc-quan-7-tp-hcm/1892153.html?ta_source=JobSearchList_LinkDetail&u_sr_id=9BWmfM365cZpxy9DjLduxSEeaZN3uyGpomV1wUac_1759549989,CÔNG TY TNHH ANH PHÁT,10 - 12 triệu,Hồ Chí Minh,Không yêu cầu
Back-End Developer,https://www.topcv.vn/viec-lam/back-end-developer/1888410.html?ta_source=JobSearchList_LinkDetail&u_sr_id=9BWmfM365cZpxy9DjLduxSEeaZN3uyGpomV1wUac_1759549989,CÔNG TY TNHH GLODIVAL,9 - 12 triệu,Hồ Chí Minh,Không yêu cầu
Thực Tập Sinh Tư Vấn Triển Khai Phần Mềm ( Full Time),https://www.topcv.vn/viec-lam/thuc-tap-sinh-tu-van-trien-khai-phan-mem-full-time/1855187.html?ta_source=JobSearchList_LinkDetail&u_sr_id=9BWmfM365cZpxy9DjLduxSEeaZN3uyGpomV1wUac_1759549989,CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM NASANI,4 - 10 triệu,Hồ Chí Minh,Không yêu cầu
"Kỹ Sư Lập Trình Ứng Dụng Vision-Tự Động Hóa (Có Kinh Nghiệm Lập Trình PLC / HMI; Ngôn Ngữ Lập Trình C / C++, C#, VB, Python)",https://www.topcv.vn/viec-lam/ky-su-lap-trinh-ung-dung-vision-tu-dong-hoa-co-kinh-nghiem-lap-trinh-plc-hmi-ngon-ngu-lap-trinh-c-c-c-vb-python/1881826.html?ta_source=JobSearchList_LinkDetail&u_sr_id=9BWmfM365cZpxy9DjLduxSEeaZN3uyGpomV1wUac_1759549989,CÔNG TY TNHH TDMK,Thoả thuận,Hà Nội,1 năm
Nhân Viên Tư Vấn Bán Hàng B2B/ Kinh Doanh Bán Hàng (Phần Mềm Quản Lý Bán Hàng) - Thu Nhập Trung Bình Từ 15 Triệu Đến 40 Triệu + Thưởng KPI,https://www.topcv.vn/viec-lam/nhan-vien-tu-van-ban-hang-b2b-kinh-doanh-ban-hang-phan-mem-quan-ly-ban-hang-thu-nhap-trung-binh-tu-15-trieu-den-40-trieu-thuong-kpi/1591912.html?ta_source=JobSearchList_LinkDetail&u_sr_id=9BWmfM365cZpxy9DjLduxSEeaZN3uyGpomV1wUac_1759549989,CÔNG TY TNHH BIGSELLER TECHNOLOGY (VIỆT NAM),15 - 40 triệu,"Hồ Chí Minh, Hà Nội",2 năm
Nhân Viên Graphic Designer,https://www.topcv.vn/viec-lam/nhan-vien-graphic-designer/1881748.html?ta_source=JobSearchList_LinkDetail&u_sr_id=9BWmfM365cZpxy9DjLduxSEeaZN3uyGpomV1wUac_1759549989,CÔNG TY TNHH ANYTAPE VIỆT NAM,Thoả thuận,Hồ Chí Minh,2 năm
Nhân Viên Kinh Doanh/ Tư Vấn Công Nghệ/ Tư Vấn Bán Hàng/ Sale IT Thu Nhập Từ 10 - 20 Triệu Tại Hà Nội,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-tu-van-cong-nghe-tu-van-ban-hang-sale-it-thu-nhap-tu-10-20-trieu-tai-ha-noi/1899786.html?ta_source=JobSearchList_LinkDetail&u_sr_id=9BWmfM365cZpxy9DjLduxSEeaZN3uyGpomV1wUac_1759549989,CÔNG TY CỔ PHẦN RAPIDA TECHNOLOGIES,10 - 20 triệu,Hà Nội,Dưới 1 năm
Senior Backend Developer (Golang Prefer),https://www.topcv.vn/viec-lam/senior-backend-developer-golang-prefer/1883361.html?ta_source=JobSearchList_LinkDetail&u_sr_id=9BWmfM365cZpxy9DjLduxSEeaZN3uyGpomV1wUac_1759549989,CÔNG TY TNHH MỘT THÀNH VIÊN ATHENA HUB,30 - 50 triệu,Hồ Chí Minh,4 năm
Lập Trình Viên IOS (Mobile Apps),https://www.topcv.vn/viec-lam/lap-trinh-vien-ios-mobile-apps/1895155.html?ta_source=JobSearchList_LinkDetail&u_sr_id=9BWmfM365cZpxy9DjLduxSEeaZN3uyGpomV1wUac_1759549989,Công ty Cổ phần INFINITY TECHNOLOGY GLOBAL,18 - 30 triệu,Hà Nội,3 năm
Site Reliability Engineer (SRE),https://www.topcv.vn/viec-lam/site-reliability-engineer-sre/1862689.html?ta_source=JobSearchList_LinkDetail&u_sr_id=9BWmfM365cZpxy9DjLduxSEeaZN3uyGpomV1wUac_1759549989,ProCông ty cổ phần Tasco,Thoả thuận,Hà Nội,2 năm
Phó Phòng Công Nghệ Thông Tin (Mảng Tài Chính) - Thu Nhập Upto 40 Triệu - Làm Việc Từ Thứ 2 Đến Thứ 6,https://www.topcv.vn/viec-lam/pho-phong-cong-nghe-thong-tin-mang-tai-chinh-thu-nhap-upto-40-trieu-lam-viec-tu-thu-2-den-thu-6/1891530.html?ta_source=JobSearchList_LinkDetail&u_sr_id=9BWmfM365cZpxy9DjLduxSEeaZN3uyGpomV1wUac_1759549989,Công ty Cổ phần Tập đoàn Đầu tư EMIR,30 - 40 triệu,Hà Nội,5 năm
Lập Trình Viên Android,https://www.topcv.vn/viec-lam/lap-trinh-vien-android/1884178.html?ta_source=JobSearchList_LinkDetail&u_sr_id=9BWmfM365cZpxy9DjLduxSEeaZN3uyGpomV1wUac_1759549989,EZTech & CDT Games Studio,20 - 30 triệu,Hà Nội,2 năm
DEV - Embedded Software Engineer,https://www.topcv.vn/viec-lam/dev-embedded-software-engineer/1874980.html?ta_source=JobSearchList_LinkDetail&u_sr_id=9BWmfM365cZpxy9DjLduxSEeaZN3uyGpomV1wUac_1759549989,"VĂN PHÒNG ĐẠI DIỆN KAON GROUP CO., LTD TẠI THÀNH PHỐ HÀ NỘI",Thoả thuận,Hà Nội,3 năm
Sales B2B/ Business Consultant /Sales Giải Pháp Chuyển Đổi Số- Up To 20M,https://www.topcv.vn/viec-lam/sales-b2b-business-consultant-sales-giai-phap-chuyen-doi-so-up-to-20m/1862049.html?ta_source=JobSearchList_LinkDetail&u_sr_id=9BWmfM365cZpxy9DjLduxSEeaZN3uyGpomV1wUac_1759549989,Công ty Cổ Phần Base Enterprise,12 - 20 triệu,Hồ Chí Minh,1 năm
DevOps Engineer (Azure)- Up To 50M,https://www.topcv.vn/viec-lam/devops-engineer-azure-up-to-50m/1894887.html?ta_source=JobSearchList_LinkDetail&u_sr_id=9BWmfM365cZpxy9DjLduxSEeaZN3uyGpomV1wUac_1759549989,Công Ty TNHH NTT DATA VDS,30 - 50 triệu,Hà Nội,2 năm
Backend Developer (Python) Senior Level | Lương Upto 40 Triệu++,https://www.topcv.vn/viec-lam/backend-developer-python-senior-level-luong-upto-40-trieu/1785633.html?ta_source=JobSearchList_LinkDetail&u_sr_id=9BWmfM365cZpxy9DjLduxSEeaZN3uyGpomV1wUac_1759549989,CÔNG TY TNHH VODAPLAY VIỆT NAM,Tới 40 triệu,Hà Nội,4 năm
DevOps Engineer,https://www.topcv.vn/brand/topcv/tuyen-dung/devops-engineer-j1823528.html?ta_source=JobSearchList_LinkDetail&u_sr_id=9BWmfM365cZpxy9DjLduxSEeaZN3uyGpomV1wUac_1759549989,Công ty Cổ phần TOPCV Việt Nam,Thoả thuận,Hà Nội,2 năm
"Junior Business Analyst At Bitel, Based In Peru  - Salary $1,100 - $1,400",https://www.topcv.vn/viec-lam/junior-business-analyst-at-bitel-based-in-peru-salary-1-100-1-400/1894336.html?ta_source=JobSearchList_LinkDetail&u_sr_id=9BWmfM365cZpxy9DjLduxSEeaZN3uyGpomV1wUac_1759549989,Viettel Peru,"1,100 - 1,400 USD",Nước Ngoài,1 năm
Senior Fullstack Software Engineer,https://www.topcv.vn/viec-lam/senior-fullstack-software-engineer/1894348.html?ta_source=JobSearchList_LinkDetail&u_sr_id=oS3w78gHBKaYXdp5EXo0hToC5hmwAC2b1FF5zEUm_1759549996,CÔNG TY CỔ PHẦN CYPHER AI LABS,Thoả thuận,Hà Nội,5 năm
Senior Frontend Developer (React.Js/Next.Js) - Mức Lương Upto 30M,https://www.topcv.vn/viec-lam/senior-frontend-developer-react-js-next-js-muc-luong-upto-30m/1771109.html?ta_source=JobSearchList_LinkDetail&u_sr_id=oS3w78gHBKaYXdp5EXo0hToC5hmwAC2b1FF5zEUm_1759549996,CÔNG TY TNHH VODAPLAY VIỆT NAM,Tới 30 triệu,Hà Nội,4 năm
"Sales Leader B2B/ Trưởng Nhóm Kinh Doanh Phần Mềm, Thu Nhập 15 - 40 Triệu, Nghỉ T7 & CN",https://www.topcv.vn/viec-lam/sales-leader-b2b-truong-nhom-kinh-doanh-phan-mem-thu-nhap-15-40-trieu-nghi-t7-cn/1882230.html?ta_source=JobSearchList_LinkDetail&u_sr_id=oS3w78gHBKaYXdp5EXo0hToC5hmwAC2b1FF5zEUm_1759549996,CÔNG TY TNHH CNV HOLDINGS,15 - 40 triệu,"Hồ Chí Minh, Hà Nội",Dưới 1 năm
Mobile Developer (Flutter)- Thu Nhập Up To 25tr- Tại Hà Nội,https://www.topcv.vn/viec-lam/mobile-developer-flutter-thu-nhap-up-to-25tr-tai-ha-noi/1891581.html?ta_source=JobSearchList_LinkDetail&u_sr_id=oS3w78gHBKaYXdp5EXo0hToC5hmwAC2b1FF5zEUm_1759549996,CÔNG TY TNHH 10KN,Tới 25 triệu,Hà Nội,3 năm
Nhân Viên Tư Vấn Triển Khai Phần Mềm (Có Đào Tạo),https://www.topcv.vn/viec-lam/nhan-vien-tu-van-trien-khai-phan-mem-co-dao-tao/1897777.html?ta_source=JobSearchList_LinkDetail&u_sr_id=oS3w78gHBKaYXdp5EXo0hToC5hmwAC2b1FF5zEUm_1759549996,CÔNG TY TNHH CÔNG NGHỆ PHẦN MỀM NASANI,8 - 25 triệu,Hồ Chí Minh,Không yêu cầu
"Chuyên Viên Kinh Doanh Hạ Tầng Công Nghê Thông Tin - Điện Nhẹ / Sales B2B - Tối Thiểu 2 Năm Kinh Nghiệm (Sinh Năm 1997 Trở Lên, Lương Cơ Bản Từ 10 Triệu + Thưởng, Thu Nhập Hấp Dẫn) - TP Hồ Chí Minh",https://www.topcv.vn/viec-lam/chuyen-vien-kinh-doanh-ha-tang-cong-nghe-thong-tin-dien-nhe-sales-b2b-toi-thieu-2-nam-kinh-nghiem-sinh-nam-1997-tro-len-luong-co-ban-tu-10-trieu-thuong-thu-nhap-hap-dan-tp-ho-chi-minh/1837535.html?ta_source=JobSearchList_LinkDetail&u_sr_id=oS3w78gHBKaYXdp5EXo0hToC5hmwAC2b1FF5zEUm_1759549996,CÔNG TY CỔ PHẦN MẠNG SÁNG TẠO EASYNET,Thoả thuận,Hồ Chí Minh,2 năm
IOS Developer (Swift/C++),https://www.topcv.vn/viec-lam/ios-developer-swift-c/1608572.html?ta_source=JobSearchList_LinkDetail&u_sr_id=oS3w78gHBKaYXdp5EXo0hToC5hmwAC2b1FF5zEUm_1759549996,CÔNG TY TNHH PHẦN MỀM TOWER HÀ NỘI,Thoả thuận,Hà Nội,2 năm
Website Developer Wordpress Shopify -Hà Nội / Thái Nguyên -  Lương 15 Triệu + Thưởng,https://www.topcv.vn/brand/maxbiocare/tuyen-dung/website-developer-wordpress-shopify-ha-noi-thai-nguyen-luong-15-trieu-thuong-j1796654.html?ta_source=JobSearchList_LinkDetail&u_sr_id=oS3w78gHBKaYXdp5EXo0hToC5hmwAC2b1FF5zEUm_1759549996,VĂN PHÒNG ĐẠI DIỆN MAX BIOCARE PTY LTD TẠI HÀ NỘI,15 - 20 triệu,"Thái Nguyên, Hà Nội",3 năm
Graphic Designer - Thu Nhập Từ 10-15 Triệu,https://www.topcv.vn/brand/maxbiocare/tuyen-dung/graphic-designer-thu-nhap-tu-10-15-trieu-j1796703.html?ta_source=JobSearchList_LinkDetail&u_sr_id=oS3w78gHBKaYXdp5EXo0hToC5hmwAC2b1FF5zEUm_1759549996,VĂN PHÒNG ĐẠI DIỆN MAX BIOCARE PTY LTD TẠI HÀ NỘI,10 - 15 triệu,Thái Nguyên,2 năm
"Middle Fullstack Java, 3 Năm Kinh Nghiệm, Lương 35M",https://www.topcv.vn/viec-lam/middle-fullstack-java-3-nam-kinh-nghiem-luong-35m/1885162.html?ta_source=JobSearchList_LinkDetail&u_sr_id=oS3w78gHBKaYXdp5EXo0hToC5hmwAC2b1FF5zEUm_1759549996,Công ty cổ phần Synodus,Tới 35 triệu,Hà Nội,3 năm
Quản Trị Mạng Xã Hội Kiêm Thu Ngân - Lương Upto 12tr - Tại Hà Nội,https://www.topcv.vn/viec-lam/quan-tri-mang-xa-hoi-kiem-thu-ngan-luong-upto-12tr-tai-ha-noi/1897594.html?ta_source=JobSearchList_LinkDetail&u_sr_id=oS3w78gHBKaYXdp5EXo0hToC5hmwAC2b1FF5zEUm_1759549996,CÔNG TY TNHH DU LỊCH VÀ KHÁCH SẠN LINH QUỲNH HƯNG,8 - 12 triệu,Hà Nội,1 năm
QA - Validation & Verification Engineer,https://www.topcv.vn/viec-lam/qa-validation-verification-engineer/1873287.html?ta_source=JobSearchList_LinkDetail&u_sr_id=oS3w78gHBKaYXdp5EXo0hToC5hmwAC2b1FF5zEUm_1759549996,"VĂN PHÒNG ĐẠI DIỆN KAON GROUP CO., LTD TẠI THÀNH PHỐ HÀ NỘI",Thoả thuận,Hà Nội,2 năm
[DI9] Senior Java Developer - DXDB - SI - MSB - 3I120,https://www.topcv.vn/viec-lam/di9-senior-java-developer-dxdb-si-msb-3i120/1895737.html?ta_source=JobSearchList_LinkDetail&u_sr_id=oS3w78gHBKaYXdp5EXo0hToC5hmwAC2b1FF5zEUm_1759549996,ProNgân hàng TMCP Hàng Hải Việt Nam (MSB),"1,000 - 2,000 USD",Hà Nội,3 năm
Quản Lý Dự Án Phần Mềm - Project Manager (Software),https://www.topcv.vn/viec-lam/quan-ly-du-an-phan-mem-project-manager-software/1894070.html?ta_source=JobSearchList_LinkDetail&u_sr_id=oS3w78gHBKaYXdp5EXo0hToC5hmwAC2b1FF5zEUm_1759549996,Công ty TNHH Smartbooks,"Tới 1,500 USD",Hà Nội,2 năm
"Backend Engineer (Tuyển Nhiều Level, Mảng Blockchain)",https://www.topcv.vn/viec-lam/backend-engineer-tuyen-nhieu-level-mang-blockchain/1852001.html?ta_source=JobSearchList_LinkDetail&u_sr_id=oS3w78gHBKaYXdp5EXo0hToC5hmwAC2b1FF5zEUm_1759549996,CÔNG TY CỔ PHẦN 1MATRIX,Thoả thuận,Hà Nội,3 năm
Senior Game Designer,https://www.topcv.vn/viec-lam/senior-game-designer/1889254.html?ta_source=JobSearchList_LinkDetail&u_sr_id=oS3w78gHBKaYXdp5EXo0hToC5hmwAC2b1FF5zEUm_1759549996,Công ty TNHH Skylink Group,Thoả thuận,Hồ Chí Minh,4 năm
Nhân Viên Kinh Doanh Kỹ Thuật (Lương Cứng Upto 18 Triệu + % Hoa Hồng Cao),https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-ky-thuat-luong-cung-upto-18-trieu-hoa-hong-cao/1882590.html?ta_source=JobSearchList_LinkDetail&u_sr_id=oS3w78gHBKaYXdp5EXo0hToC5hmwAC2b1FF5zEUm_1759549996,Công ty TNHH công nghệ thông minh ICOMTECK,Thoả thuận,Hà Nội,1 năm
Gameplay Developer (C++),https://www.topcv.vn/viec-lam/gameplay-developer-c/1889187.html?ta_source=JobSearchList_LinkDetail&u_sr_id=oS3w78gHBKaYXdp5EXo0hToC5hmwAC2b1FF5zEUm_1759549996,Công ty TNHH Gameloft,Thoả thuận,Hồ Chí Minh,1 năm
Nhân Viên Kinh Doanh Thị Trường/ Direct Sales Thu Nhập Từ 10 -15 Triệu,https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-thi-truong-direct-sales-thu-nhap-tu-10-15-trieu/1892230.html?ta_source=JobSearchList_LinkDetail&u_sr_id=oS3w78gHBKaYXdp5EXo0hToC5hmwAC2b1FF5zEUm_1759549996,CÔNG TY TNHH FINAN,10 - 15 triệu,Hồ Chí Minh,Dưới 1 năm
Senior Fullstack Developer PHP- Lương Up To 30tr-Có 2 Năm Kinh Nghiệm- Đi Làm Ngay,https://www.topcv.vn/viec-lam/senior-fullstack-developer-php-luong-up-to-30tr-co-2-nam-kinh-nghiem-di-lam-ngay/1895797.html?ta_source=JobSearchList_LinkDetail&u_sr_id=oS3w78gHBKaYXdp5EXo0hToC5hmwAC2b1FF5zEUm_1759549996,CÔNG TY TNHH TOP TALENT,20 - 30 triệu,Đồng Nai,3 năm
Chuyên Viên Website (Website Executive) - Thu Nhập 12 -18 Triệu,https://www.topcv.vn/viec-lam/chuyen-vien-website-website-executive-thu-nhap-12-18-trieu/1893829.html?ta_source=JobSearchList_LinkDetail&u_sr_id=oS3w78gHBKaYXdp5EXo0hToC5hmwAC2b1FF5zEUm_1759549996,CÔNG TY TNHH CARBON BILLIARDS,12 - 18 triệu,Hà Nội,2 năm
"Lập Trình Viên Fullstack (Từ 3 Năm Kinh Nghiệm, Thu Nhập 700-1500 USD)",https://www.topcv.vn/viec-lam/lap-trinh-vien-fullstack-tu-3-nam-kinh-nghiem-thu-nhap-700-1500-usd/1886652.html?ta_source=JobSearchList_LinkDetail&u_sr_id=oS3w78gHBKaYXdp5EXo0hToC5hmwAC2b1FF5zEUm_1759549996,CÔNG TY CỔ PHẦN SMART - SOLUTIONS VIỆT NAM,"700 - 1,500 USD",Hà Nội,3 năm
Trưởng Nhóm Marketing (FullStack-Marketing Leader) Thu Nhập Từ 30 - 35 Triệu,https://www.topcv.vn/viec-lam/truong-nhom-marketing-fullstack-marketing-leader-thu-nhap-tu-30-35-trieu/1881282.html?ta_source=JobSearchList_LinkDetail&u_sr_id=oS3w78gHBKaYXdp5EXo0hToC5hmwAC2b1FF5zEUm_1759549996,CÔNG TY TNHH H2T WEFUN MEDIA,Từ 30 triệu,Hà Nội,2 năm
